ID,CoasterName,Park,City,State,Country,Status,OpSince,OpUntil,Type,Scale,Design,Length,Height,Drop,Speed,Inversions,Vertical,Duration
5698,Plopsa Indoor Hasselt,Hasselt,Limburg,Flemish Region,Belgium,Operating,2005-12-24,,,,,,,,,,,
5758,Aqua Park / アクアパーク,Takanawa,Minato,Tokyo,Japan,Operating,2005-04-08,,,,,,,,,,,
5889,Aliba City,Nishi,Kobe,Hyōgo,Japan,Operated,1992,1997-11-30,,,,,,,,,,
5904,Chimelong Paradise / 长隆欢乐世界,Panyu,Guangzhou,Guangdong,China,Operating,2006-02,,,,,,,,,,,
5913,Ffrith Beach Fun Parc,Prestatyn,Denbighshire,Wales,United Kingdom,Operated,2008,2009,,,,,,,,,,
5917,Harborland / 凤凰山海港乐园,Beilun,Ningbo,Zhejiang,China,Operated,2006-01-18,2019-10-15,,,,,,,,,,
5938,Glücks Königreich,Obihiro,Tokachi,Hokkaido,Japan,SBNO,,2002,,,,,,,,,,
5962,Golden Palm Resort,Chapel St. Leonards,Lincolnshire,England,United Kingdom,Operating,,,,,,,,,,,,
5975,Hangzhou Paradise / 宋城杭州乐园,Xiaoshan,Hangzhou,Zhejiang,China,Operating,1999-04-25,,,,,,,,,,,
5986,Big Worm / 大青虫,Tianjia'an,Huainan,Anhui,China,Operating,2009,,Steel,Family,Sit Down,721.8,,,9.9,0,,
6047,Mosa-RT,Maaseik,Limburg,Flemish Region,Belgium,Operating,,,,,,,,,,,,
6129,Clifton Park Amusements,Rotherham,South Yorkshire,England,United Kingdom,Operating,2003,,,,,,,,,,,
6134,Bayside Fun Park,Bridlington,East Riding of Yorkshire,England,United Kingdom,Operating,,,,,,,,,,,,
6253,Happy Valley / 欢乐谷,Jinniu,Chengdu,Sichuan,China,Operating,2009-01-17,,,,,,,,,,,
6254,Fantawild Adventure / 方特欢乐世界,Jinghu,Wuhu,Anhui,China,Operating,2007-10-18,,,,,,,,,,,
6282,Sandham Raceway,Sandown,Isle of Wight,England,United Kingdom,Operating,2007,,,,,,,,,,,
6321,Happiland,Southport,Merseyside,England,United Kingdom,Operated,,,,,,,,,,,,
6337,Powerland,Chengyang,Qingdao,Shandong,China,SBNO,,2013,,,,,,,,,,
6361,Lost World Adventure Park,Skegness,Lincolnshire,England,United Kingdom,Operated,,,,,,,,,,,,
6415,unknown,King Fahd Amusement Park,Ta'if,Makkah,Saudi Arabia,Operating,2004,,Steel,Family,Sit Down,,,,,0,,
6418,Crazy Mouse / 丛林飞鼠,Changping,Dongguan,Guangdong,China,Operating,2010,,Steel,Thrill,Sit Down,,,,,0,,
6419,unknown,Rongcheng,Jieyang,Guangdong,China,Operating,2008,,Steel,Family,Sit Down,,,,,0,,
6420,Roller Coaster / Американские Горки,City Park,Tomsk,Tomsk,Russia,Operated,2006,2017,Steel,Family,Sit Down,,,,,0,,
6425,unknown,King Fahd Amusement Park,Ta'if,Makkah,Saudi Arabia,Operating,2004,,Steel,Thrill,Sit Down,,,,,0,,
6426,Russian Mountain,Beirut Luna Park,Beirut,Beirut,Lebanon,Operated,,,Steel,Family,Sit Down,,,,,0,,
6428,Tiger Mike Roller Coaster,Timezone,Tangerang,West Java,Indonesia,Operated,,,Steel,Kiddie,Sit Down,,,,,0,,
6429,African Thunder Coaster,Fun World,Tangerang,West Java,Indonesia,Operating,2013-03-25,,Steel,Family,Sit Down,,,,,0,,
6430,Family Coaster / 家庭过山车,Suyu,Suqian,Jiangsu,China,Operating,2013-07-06,,Steel,Family,Sit Down,,,,,0,,
6433,unknown,Dream Land,Phnom Penh,Phnom Penh,Cambodia,Operated,,,Steel,Family,Sit Down,,,,,0,,
6438,Jumbo Jet,Dreamland,Minsk,Minsk,Belarus,Operated,2010,2014,Steel,Thrill,Sit Down,,,,,0,,
6441,unknown,Six Gun Territory,Willow Grove,Pennsylvania,United States,Operated,,,Steel,Kiddie,Sit Down,,,,,0,,
6443,Gusanito,Unipark,Santa Rosa de Copán,Copán,Honduras,Operating,2007,,Steel,Kiddie,Sit Down,,,,,0,,
6446,unknown,Jangali Park,Urmia,West Azerbaijan,Iran,Operating,2005,,Steel,Family,Sit Down,,,,,0,,
6449,Fruit Worm Coaster / 果虫滑车,Loca Joy Holiday Theme Park,Yongchuan,Chongqing,China,Operating,2013-04-26,,Steel,Kiddie,Sit Down,,,,,0,,
6451,Chimelong Safari Park / 长隆野生动物世界,Panyu,Guangzhou,Guangdong,China,Operating,,,,,,,,,,,,
6452,Python Roller Coaster,Party Zone USA,Middletown,New York,United States,Operated,2011,2017,Steel,Family,Sit Down,,,,,0,,
6453,Gekion Live Coaster / 撃音 ライブ コースター,Odaiba,Minato,Tokyo,Japan,Operating,2012-07-14,,Steel,Extreme,Sit Down,984.3,16.4,,23.6,1,,
6457,unknown,Magicland,Abuja,Federal Capital Territory,Nigeria,Operating,2007,,Steel,Family,Sit Down,,,,,0,,
6458,unknown,Happy Land,Jaramana,Rif Dimashq,Syria,Operating,2000,,Steel,Family,Sit Down,,,,,0,,
6459,unknown,Maitama Amusement Park,Abuja,Federal Capital Territory,Nigeria,Operating,2003,,Steel,Kiddie,Sit Down,,,,,0,,
6461,Menphis Coaster,Europark,Vias,Occitanie,France,Operating,2013,,Steel,Thrill,Sit Down,1017.1,36.1,,20.7,0,,2:00
6468,Jungle Flying Squirrel / 丛林飞鼠,Chang'an,Dongguan,Guangdong,China,Operated,,,Steel,Thrill,Sit Down,,,,,0,,
6473,Achtbaan,Speelpark Oud Valkeveen,Naarden,North Holland,Netherlands,Operated,2013-03-23,2018,Steel,Family,Sit Down,721.8,16.4,,,0,,
6478,Rainier Rush,Washington State Fair,Puyallup,Washington,United States,Operated,2013,2019,Steel,Extreme,Sit Down,1775,63,,45,1,,
6481,Twist Coaster Robin / ツイストコースター　ロビン,Yomiuriland,Inagi,Tokyo,Japan,Operated,,,Steel,Extreme,Sit Down,1026.9,62.3,,38.5,2,93,
